sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-04-14;22,745;22,814;23,791;23,861;22,396;22,745;22,925;229645,64671415617;5264564;304;
2014-04-11;23,861;23,931;24,489;24,489;23,442;23,861;23,811;251343,02595881757;5984849,8;328;
2014-04-10;24,489;24,559;24,838;25,187;24,419;24,489;24,824;182557,25985163395;4531719;279;
2014-04-09;24,559;24,628;24,00;25,047;23,931;24,559;24,304;308440,18539799924;7496230,6;391;
2014-04-08;23,861;24,00;23,861;24,00;23,024;24,00;23,416;172395,12358233487;4036798,6;534;
2014-04-07;23,582;23,721;25,047;25,047;23,512;23,721;24,111;479988,22540696943;11571707;650;
2014-04-04;24,907;25,047;25,047;25,256;24,698;24,907;25,009;299754,35383354895;7496423,1;372;
2014-04-03;24,628;24,768;24,698;25,187;24,559;24,628;24,919;348764,803423452;8690870,6;514;
2014-04-02;24,489;24,628;24,349;24,907;23,373;24,489;24,221;970967,0376845996;23518906,7;1000;
2014-04-01;23,931;24,00;21,698;24,907;21,698;24,00;23,743;1935750,7952752986;45964186;2691;
2014-03-31;19,954;20,093;20,024;20,652;19,884;20,093;20,209;242495,23086849553;4900660,3;338;
2014-03-28;19,954;20,024;19,326;20,093;19,186;19,954;19,619;287253,0629251108;5635669,3;254;
2014-03-27;19,256;19,326;19,535;19,675;19,256;19,256;19,496;312844,73331838793;6099120;307;
2014-03-26;19,605;19,675;19,954;20,093;19,396;19,605;19,745;216393,30370344542;4272708,6;305;
2014-03-25;19,814;19,884;20,163;20,512;19,605;19,814;20,014;309965,22249116347;6203664,4;385;
2014-03-24;20,093;20,163;21,628;21,628;20,093;20,093;20,734;308328,38756598153;6392971,5;498;
2014-03-21;21,698;21,768;22,117;22,326;21,489;21,698;22,073;228557,76781029184;5044970;216;
2014-03-20;22,117;22,186;21,698;22,396;21,628;22,117;21,991;100817,2782857867;2217073,3;167;
2014-03-19;21,768;21,838;22,814;22,814;21,698;21,838;21,98;281284,7786620133;6182622,2;319;
2014-03-18;22,396;22,535;21,838;22,605;21,419;22,396;22,162;394763,8780765712;8748754,3;536;
2014-03-17;21,559;21,628;21,977;22,535;21,419;21,628;21,946;385097,6655236583;8451524,3;516;
2014-03-14;21,907;21,977;23,024;23,093;21,349;21,907;22,075;602514,349381727;13302491,55;590;
2014-03-13;23,233;23,303;24,21;24,21;23,233;23,233;23,593;320802,4456691847;7568698,5;389;
2014-03-12;24,07;24,21;24,21;24,559;23,721;24,21;24,101;135500,40571096286;3265685,6;269;
2014-03-11;24,349;24,419;24,489;24,628;24,00;24,349;24,223;201068,40088379156;4870396,7;286;
2014-03-10;24,559;24,698;25,047;25,047;24,419;24,698;24,725;127492,5276663121;3152308,6;308;
2014-03-07;24,768;24,838;25,117;25,117;24,768;24,768;24,924;192611,8982055314;4800721,4;412;
2014-03-06;24,977;25,117;25,396;25,675;24,907;24,977;25,131;408128,01891929964;10256514,5;312;
2014-03-05;25,326;25,396;26,024;26,163;25,326;25,326;25,695;414718,35778618784;10758173,1;340;
2014-03-04;26,094;26,163;26,163;27,001;26,094;26,163;26,44;259186,0738665192;6852776,2;349;
2014-03-03;25,466;25,605;26,442;26,652;25,466;25,466;25,865;299461,9595036566;7745666,2;489;
2014-02-28;27,489;27,559;27,559;27,698;27,21;27,559;27,52;117396,32345179267;3230693,1;235;
2014-02-27;27,489;27,559;27,908;27,908;26,791;27,559;27,241;338991,0929551374;9234440,3;457;
2014-02-26;27,908;27,977;27,14;28,256;27,14;27,908;27,792;413766,6429084989;11498646,65;568;
2014-02-25;27,07;27,14;27,001;27,14;26,652;27,14;26,894;232926,48309221337;6264360,7;365;
2014-02-24;26,861;26,931;25,954;26,931;25,814;26,931;26,477;283119,4097515342;7496148;405;
2014-02-21;26,024;26,094;25,884;26,094;25,466;26,094;25,905;272895,6413440715;7069238,7;470;
2014-02-20;25,605;25,745;25,256;25,745;24,907;25,745;25,476;313342,09034031274;7982680,3;491;
2014-02-19;25,326;25,396;25,396;25,814;24,00;25,396;25,173;758284,5620208179;19088525,9;944;
2014-02-18;25,396;25,466;25,675;25,675;24,419;25,466;25,196;292063,2363129483;7358936,3;523;
2014-02-17;25,187;25,396;25,814;26,442;25,256;25,256;25,634;312331,6099355376;8006368,8;438;
2014-02-14;25,326;25,396;24,28;25,605;24,00;25,326;24,855;421460,62704017694;10475542,9;562;
2014-02-13;24,21;24,28;24,559;25,396;23,931;24,28;24,402;359116,1360238579;8763078,9;563;
2014-02-12;24,559;24,768;26,303;26,303;24,489;24,559;25,144;394666,4132999404;9923393,1;576;
2014-02-11;25,954;26,024;24,768;26,652;24,28;26,024;25,784;508082,4472707961;13100278,5;820;
